type,product_internal_id,product_sku,product_name,product_price,product_compare_to_price,product_is_inventory_tracked,product_quantity,product_quantity_out_of_stock_behaviour,product_low_stock_notification_quantity,product_quantity_minimum_allowed_for_purchase,product_quantity_maximum_allowed_for_purchase,product_is_available,product_media_main_image_url,product_media_main_image_alt,product_description,product_category_1,product_is_featured,product_is_featured_order_by,product_brand,product_upc,product_ribbon_text,product_ribbon_color,product_subtitle,product_weight,product_is_shipping_required,product_tax_class_code,product_seo_title,product_seo_description,product_related_item_ids,product_related_item_skus,product_related_items_random,product_related_items_random_category,product_related_items_random_number_of_items,product_option_name,product_option_type,product_option_is_required,product_option_value,product_option_markup,product_option_is_default_option_selection,product_option_swatch_hex_value,product_option_swatch_image,product_option_swatch_selector_is_image,product_variation_option_Black,product_variation_option_Colour,product_variation_option_Diameter,product_variation_option_Flavour,product_variation_option_Size,product_variation_option_Type,product_variation_sku,category_internal_id,category_path,category_is_available,category_description,category_seo_title,category_seo_description,category_image,category_image_alt,category_order_by,source_store_id,url
product_option,809028008,10843 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,DROPDOWNLIST,false,34,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809028008,10843 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,DROPDOWNLIST,false,36,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809028008,10843 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,DROPDOWNLIST,false,38,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_variation,809028008,10843 - Base,,99.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black Camo,,,28,,10843,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-LE-MTB-Shorts/p/809028008/variation=497496250
product_variation,809028008,10843 - Base,,99.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black Camo,,,30,,10844,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-LE-MTB-Shorts/p/809028008/variation=497496251
product_variation,809028008,10843 - Base,,99.00,,true,1,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black Camo,,,32,,10845,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-LE-MTB-Shorts/p/809028008/variation=497496252
product_variation,809028008,10843 - Base,,99.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black Camo,,,34,,10846,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-LE-MTB-Shorts/p/809028008/variation=497496253
product_variation,809028008,10843 - Base,,99.00,,true,1,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black Camo,,,36,,10847,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-LE-MTB-Shorts/p/809028008/variation=497496254
product_variation,809028008,10843 - Base,,99.00,,true,1,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black Camo,,,38,,10872,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-LE-MTB-Shorts/p/809028008/variation=497496255
product,809026285,10893 - Base,100%  Airmatic LE Short Sleeve Jersey,40.00,,false,0,,1,,,true,,,,Clothing,false,,100%,,,,,0.0,true,default,100%  Airmatic LE Short Sleeve Jersey,,,,false,,5,,,,,,,,,,,,,,,,,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-LE-Short-Sleeve-Jersey/p/809026285
